Item;Oracion;Lenguaje
28;Cuando lo oyó el rey Herodes, se turbó, y toda Jerusalén con él.;Esp
29;Así que convocó de entre el pueblo a todos los jefes de los sacerdotes y maestros de la ley , y les preguntó dónde había de nacer el Cristo .;Esp
30;?En Belén de Judea —le respondieron—, porque esto es lo que ha escrito el profeta:;Esp
31;"»“Pero tú, Belén, en la tierra de Judá, de ninguna manera eres la menor entre los principales de Judá; porque de ti saldrá un príncipe que será el pastor de mi pueblo Israel”».";Esp
32;Luego Herodes llamó en secreto a los sabios y se enteró por ellos del tiempo exacto en que había aparecido la estrella.;Esp
33;Les envió a Belén y les dijo: ?Id e informaros bien acerca de ese niño y, tan pronto como le encontréis, informadme a mí para que también vaya yo y le adore.;Esp
34;Después de oír al rey, siguieron su camino, y sucedió que la estrella que habían visto salir iba delante de ellos hasta que se detuvo sobre el lugar donde estaba el niño.;Esp
35;Al ver la estrella, se llenaron de alegría.;Esp
36;"Cuando llegaron a la casa, vieron al niño con María, su madre; y, postrándose, le adoraron. Abrieron sus cofres y le presentaron como regalos oro, incienso y mirra.";Esp
37;Entonces, advertidos en sueños de que no volvieran a Herodes, regresaron a su tierra por otro camino.;Esp
38;Cuando ya se habían ido, he aquí un ángel del Señor se le apareció en sueños a José y le dijo: «Levántate, toma al niño y a su madre, y huye a Egipto. Quédate allí hasta que yo te avise, porque Herodes va a buscar al niño para matarlo».;Esp
39;Así que se levantó cuando todavía era de noche, tomó al niño y a su madre, y partió para Egipto,;Esp
40;donde permaneció hasta la muerte de Herodes. De este modo se cumplió lo que el Señor había dicho por medio del profeta: «De Egipto llamé a mi hijo».;Esp
41;Cuando Herodes se dio cuenta de que los sabios se habían burlado de él, se enfureció y mandó matar a todos los niños menores de dos años en Belén y en sus alrededores, de acuerdo con el tiempo que había averiguado de los sabios.;Esp
42;Entonces se cumplió lo dicho por el profeta Jeremías:;Esp
43;"«Se oye un grito en Ramá, llanto y gran lamentación; es Raquel, que llora por sus hijos y no quiere ser consolada; ¡sus hijos ya no existen!»";Esp
44;Después de la muerte de Herodes, he aquí un ángel del Señor se le apareció en sueños a José en Egipto;Esp
45;y le dijo: «Levántate, toma al niño y a su madre, y vete a la tierra de Israel, porque ya murieron los que amenazaban con quitarle la vida al niño».;Esp
46;Así que se levantó José, tomó al niño y a su madre, y regresó a la tierra de Israel.;Esp
47;Pero, al oír que Arquelao reinaba en Judea en lugar de su padre Herodes, tuvo miedo de ir allá. Advertido por Dios en sueños, se retiró a la región de Galilea,;Esp
48;y fue a vivir en un pueblo llamado Nazaret. Con esto se cumplió lo dicho por los profetas: «Será llamado nazareno».;Esp
49;En aquellos días se presentó Juan el Bautista predicando en el desierto de Judea;Esp
50;y decía: « Arrepentíos , porque el reino de los cielos está cerca».;Esp
51;Juan era aquel de quien había escrito el profeta Isaías: «Voz de uno que grita en el desierto: “Preparad el camino para el Señor, haced derechas sus sendas”».;Esp
52;Juan estaba vestido con ropa hecha de pelo de camello. Llevaba puesto un cinturón de cuero y se alimentaba de langostas y miel silvestre.;Esp
53;Acudía a él la gente de Jerusalén, de toda Judea y de toda la región del Jordán.;Esp
54;Cuando confesaban sus pecados, él los bautizaba en el río Jordán.;Esp
55;Pero, al ver que muchos fariseos y saduceos llegaban adonde él estaba bautizando, les advirtió: «¡Camada de víboras! ¿Quién os dijo que podríais escapar del castigo que se acerca?;Esp
56;Producid frutos que demuestren arrepentimiento.;Esp
57;No penséis que podréis alegar: “Tenemos a Abraham por padre”. Porque os digo que aun de estas piedras Dios es capaz de darle hijos a Abraham.;Esp
58;El hacha ya está puesta a la raíz de los árboles, y todo árbol que no produzca buen fruto será cortado y arrojado al fuego.;Esp
59;»Yo os bautizo con agua para arrepentimiento. Pero el que viene después de mí es más poderoso que yo, y ni siquiera merezco llevarle las sandalias. Él os bautizará con el Espíritu Santo y con fuego.;Esp
60;"Tiene el aventador en la mano y limpiará su era, recogiendo el trigo en su granero; la paja, en cambio, la quemará con fuego que nunca se apagará».";Esp
61;Entonces Jesús fue de Galilea al Jordán para que Juan le bautizara.;Esp
62;Pero Juan trató de disuadirlo. ?Yo soy el que necesita ser bautizado por ti, ¿y tú vienes a mí? —objetó.;Esp
63;?Hagámoslo como te digo, pues nos conviene cumplir con lo que es justo —le contestó Jesús. Entonces Juan consintió.;Esp
64;Tan pronto como Jesús fue bautizado, subió del agua. En ese momento se abrió el cielo, y él vio al Espíritu de Dios bajar como una paloma y posarse sobre él.;Esp
65;"Y, he aquí, una voz del cielo decía: «Este es mi Hijo amado; estoy muy complacido con él».";Esp
66;Luego el Espíritu llevó a Jesús al desierto para que el diablo lo sometiera a tentación .;Esp
67;Después de ayunar cuarenta días y cuarenta noches, tuvo hambre.;Esp
68;El tentador se le acercó y le propuso: ?Si eres el Hijo de Dios, ordena a estas piedras que se conviertan en pan.;Esp
69;Jesús le respondió: ?Escrito está: “No solo de pan vive el hombre, sino de toda palabra que sale de la boca de Dios”.;Esp
70;Luego el diablo lo llevó a la ciudad santa e hizo que se pusiera de pie sobre la parte más alta del templo , y le dijo:;Esp
71;?Si eres el Hijo de Dios, tírate abajo. Porque escrito está: »“Ordenará que sus ángeles te sostengan en sus manos, para que no tropieces con piedra alguna”».;Esp
72;?También está escrito: “No pongas a prueba al Señor tu Dios” —le contestó Jesús.;Esp
73;De nuevo lo tentó el diablo, llevándolo a una montaña muy alta, y le mostró todos los reinos del mundo y su esplendor.;Esp
74;?Todo esto te daré si te postras y me adoras.;Esp
75;?¡Vete, Satanás! —le dijo Jesús—. Porque escrito está: “Adora al Señor tu Dios y sírvele solamente a él”.;Esp
76;Entonces el diablo lo dejó, y unos ángeles acudieron a servirle.;Esp
77;Cuando Jesús oyó que habían encarcelado a Juan, regresó a Galilea.;Esp
78;Partió de Nazaret y se fue a vivir a Capernaún, que está junto al lago en la región de Zabulón y de Neftalí,;Esp
79;para cumplir lo dicho por el profeta Isaías:;Esp
80;"«Tierra de Zabulón y tierra de Neftalí, camino del mar, al otro lado del Jordán, Galilea de los gentiles ;";Esp
81;"el pueblo que habitaba en la oscuridad ha visto una gran luz; sobre los que vivían en densas tinieblas la luz ha resplandecido».";Esp
82;Desde entonces comenzó Jesús a predicar: « Arrepentíos , porque el reino de los cielos está cerca».;Esp
83;Mientras caminaba junto al mar de Galilea, Jesús vio a dos hermanos: uno era Simón, llamado Pedro, y el otro, Andrés. Estaban echando la red al lago, pues eran pescadores.;Esp
84;«Venid, seguidme —les dijo Jesús—, y os haré pescadores de hombres».;Esp
85;Al instante dejaron las redes y lo siguieron.;Esp
86;Más adelante vio a otros dos hermanos: Jacobo y Juan, hijos de Zebedeo, que estaban con su padre en una barca remendando las redes. Jesús los llamó,;Esp
87;y dejaron en seguida la barca y a su padre, y lo siguieron.;Esp
88;Jesús recorría toda Galilea, enseñando en las sinagogas, anunciando las buenas nuevas del reino, y sanando toda enfermedad y dolencia entre la gente.;Esp
89;Su fama se extendió por toda Siria, y le llevaban todos los que padecían de diversas enfermedades, los que sufrían de dolores graves, los endemoniados, los epilépticos y los paralíticos, y él los sanaba.;Esp
90;Lo seguían grandes multitudes de Galilea, Decápolis , Jerusalén, Judea y de la región al otro lado del Jordán.;Esp
91;Cuando vio a las multitudes, subió a la ladera de una montaña y se sentó. Sus discípulos se le acercaron,;Esp
92;y, tomando él la palabra, comenzó a enseñarles diciendo:;Esp
93;« Dichosos los pobres en espíritu, porque el reino de los cielos les pertenece.;Esp
94;Dichosos los que lloran, porque serán consolados.;Esp
95;Dichosos los humildes, porque recibirán la tierra como herencia.;Esp
96;Dichosos los que tienen hambre y sed de justicia, porque serán saciados.;Esp
97;Dichosos los compasivos, porque serán tratados con compasión.;Esp
98;Dichosos los de corazón limpio, porque ellos verán a Dios.;Esp
99;Dichosos los que trabajan por la paz, porque serán llamados hijos de Dios.;Esp
100;Dichosos los perseguidos por causa de la justicia, porque el reino de los cielos les pertenece.;Esp
101;»Dichosos seréis cuando por mi causa la gente os insulte, os persiga y levante contra vosotros toda clase de calumnias.;Esp
102;Alegraos y llenaos de júbilo, porque os espera una gran recompensa en el cielo. Así también persiguieron a los profetas que os precedieron.;Esp
103;»Vosotros sois la sal de la tierra. Pero, si la sal se vuelve insípida, ¿cómo recobrará su sabor? Ya no sirve para nada, sino para que la gente la deseche y la pisotee.;Esp
104;»Vosotros sois la luz del mundo. Una ciudad en lo alto de una colina no puede esconderse.;Esp
105;Ni se enciende una lámpara para cubrirla con un cajón. Por el contrario, se pone en la repisa para que alumbre a todos los que están en la casa.;Esp
106;Así brille vuestra luz delante de todos, para que ellos puedan ver vuestras buenas obras y alaben a vuestro Padre que está en el cielo.;Esp
107;"»No penséis que he venido a anular la ley o los profetas; no he venido a anularlos, sino a darles cumplimiento.";Esp
108;Os aseguro que, mientras existan el cielo y la tierra, ni una letra ni una tilde de la ley desaparecerán hasta que todo se haya cumplido.;Esp
109;"Todo el que infrinja uno solo de estos mandamientos, por pequeño que sea, y enseñe a otros a hacer lo mismo, será considerado el más pequeño en el reino de los cielos; pero el que los practique y enseñe será considerado grande en el reino de los cielos.";Esp
110;Porque os digo que no entraréis en el reino de los cielos a menos que vuestra justicia supere a la de los fariseos y de los maestros de la ley .;Esp
111;»Habéis oído que se dijo a los antepasados: “No mates, y todo el que mate quedará sujeto al juicio del tribunal”.;Esp
112;Pero yo os digo que todo el que se enoje con su hermano quedará sujeto al juicio del tribunal. Es más, cualquiera que insulte a su hermano quedará sujeto al juicio del Consejo . Y cualquiera que lo maldiga quedará sujeto al fuego del infierno.;Esp
113;»Por lo tanto, si estás presentando tu ofrenda en el altar y allí recuerdas que tu hermano tiene algo contra ti,;Esp
114;"deja tu ofrenda allí delante del altar. Ve primero y reconcíliate con tu hermano; luego vuelve y presenta tu ofrenda.";Esp
115;»Si tu adversario te va a denunciar, llega a un acuerdo con él lo más pronto posible. Hazlo mientras estéis de camino al juzgado, no sea que te entregue al juez, y el juez al guardia, y te echen en la cárcel. Te aseguro que no saldrás de allí hasta que pagues el último céntimo.;Esp
116;»Habéis oído que se dijo: “No cometas adulterio”.;Esp
117;Pero yo os digo que cualquiera que mira a una mujer y la codicia ya ha cometido adulterio con ella en el corazón.;Esp
118;Por tanto, si tu ojo derecho te hace pecan , sácatelo y tíralo. Más te vale perder una sola parte de tu cuerpo, y no que todo él sea arrojado al infierno.;Esp
119;Y, si tu mano derecha te hace pecar, córtatela y arrójala. Más te vale perder una sola parte de tu cuerpo, y no que todo él vaya al infierno.;Esp
120;»Se ha dicho: “El que repudia a su esposa debe darle un certificado de divorcio”.;Esp
121;Pero yo os digo que, excepto en caso de infidelidad conyugal, todo el que se divorcia de su esposa la induce a cometer adulterio, y el que se casa con la divorciada comete adulterio también.;Esp
122;»También habéis oído que se dijo a los antepasados: “No faltes a tu juramento, sino cumple con tus promesas al Señor”.;Esp
123;"Pero yo os digo: No juréis de ningún modo: ni por el cielo, porque es el trono de Dios;";Esp
124;"ni por la tierra, porque es el estrado de sus pies; ni por Jerusalén, porque es la ciudad del gran Rey.";Esp
125;Tampoco jures por tu cabeza, porque no puedes hacer que ni uno solo de tus cabellos se vuelva blanco o negro.;Esp
126;"Cuando digáis “sí”, que sea realmente sí; y, cuando digáis “no”, que sea no. Cualquier cosa de más proviene del maligno.";Esp
127;»Habéis oído que se dijo: “Ojo por ojo y diente por diente”.;Esp
128;Pero yo os digo: No resistáis al que os haga mal. Si alguien te da una bofetada en la mejilla derecha, vuélvele también la otra.;Esp
129;Si alguien te pone pleito para quitarte la camisa , déjale también la capa.;Esp
130;Si alguien te obliga a llevarle la carga un kilómetro, llévasela dos.;Esp
131;"Al que te pida, dale; y al que quiera tomar de ti prestado, no le vuelvas la espalda.";Esp
132;»Habéis oído que se dijo: “Ama a tu prójimo y odia a tu enemigo”.;Esp
133;Pero yo os digo: Amad a vuestros enemigos y orad por quienes os persiguen,;Esp
134;para que seáis hijos de vuestro Padre que está en el cielo. Él hace que salga el sol sobre malos y buenos, y que llueva sobre justos e injustos.;Esp
135;Si amáis solamente a quienes os aman, ¿qué recompensa recibiréis? ¿Acaso no hacen eso hasta los recaudadores de impuestos ?;Esp
136;Y, si solamente saludáis a vuestros hermanos, ¿qué hacéis de más? ¿Acaso no hacen esto hasta los gentiles ?;Esp
137;Por tanto, sed perfectos , así como vuestro Padre celestial es perfecto.;Esp
138;»Cuidaos de no hacer vuestras obras de justicia delante de la gente para llamar la atención. Si actuáis así, vuestro Padre que está en el cielo no os dará ninguna recompensa.;Esp
139;»Por eso, cuando des a los necesitados, no lo anuncies al son de trompeta, como lo hacen los hipócritas en las sinagogas y en las calles para que la gente les rinda homenaje. Os aseguro que ellos ya han recibido toda su recompensa.;Esp
140;Más bien, cuando des a los necesitados, que no se entere tu mano izquierda de lo que hace la derecha, para que tu limosna sea en secreto. Así tu Padre, que ve lo que se hace en secreto, te recompensará.;Esp
141;»Cuando oréis, no seáis como los hipócritas , porque a ellos les encanta orar de pie en las sinagogas y en las esquinas de las plazas para que la gente los vea. Os aseguro que ya han obtenido toda su recompensa.;Esp
142;Pero tú, cuando te pongas a orar, entra en tu cuarto, cierra la puerta y ora a tu Padre, que está en lo secreto. Así tu Padre, que ve lo que se hace en secreto, te recompensará.;Esp
143;Y al orar, no habléis solo por hablar como hacen los gentiles , porque ellos se imaginan que serán escuchados por sus muchas palabras.;Esp
144;No seáis como ellos, porque vuestro Padre sabe lo necesitáis antes de que se lo pidáis.;Esp
145;»Vosotros, pues, orad así: »“Padre nuestro que estás en el cielo,  santificado sea tu nombre,;Esp
146;venga tu reino, hágase tu voluntad en la tierra como en el cielo.;Esp
147;Danos hoy nuestro pan cotidiano.;Esp
148;Perdónanos nuestras deudas, como también nosotros hemos perdonado a nuestros deudores.;Esp
149;Y no nos dejes caer en tentación , sino líbranos del maligno”.;Esp
150;»Porque, si perdonáis a otros sus ofensas, también os perdonará a vosotros vuestro Padre celestial.;Esp
151;Pero, si no perdonáis a otros sus ofensas, tampoco vuestro Padre os perdonará a vosotros las vuestras.;Esp
152;»Cuando ayunéis, no pongáis cara triste como hacen los hipócritas , que demudan sus rostros para mostrar que están ayunando. Os aseguro que estos ya han obtenido toda su recompensa.;Esp
153;Pero tú, cuando ayunes, perfúmate la cabeza y lávate la cara;Esp
154;"para que no sea evidente ante los demás que estás ayunando, sino solo ante tu Padre, que está en lo secreto; y tu Padre, que ve lo que se hace en secreto, te recompensará.";Esp
155;»No acumuléis para vosotros tesoros en la tierra, donde la polilla y el óxido destruyen, y donde los ladrones se meten a robar.;Esp
156;Más bien, acumulad tesoros en el cielo, donde ni la polilla ni el óxido carcomen, ni los ladrones se meten a robar.;Esp
157;Porque donde esté tu tesoro, allí estará también tu corazón.;Esp
158;»El ojo es la lámpara del cuerpo. Por tanto, si tu visión es clara, todo tu ser disfrutará de la luz.;Esp
159;Pero, si tu visión está nublada, todo tu ser estará en oscuridad. Si la luz que hay en ti es oscuridad, ¡qué densa será esa oscuridad!;Esp
160;»Nadie puede servir a dos señores, pues menospreciará a uno y amará al otro, o querrá mucho a uno y despreciará al otro. No se puede servir a la vez a Dios y a las riquezas.;Esp
161;"»Por eso os digo: No os preocupéis por vuestra vida , qué comeréis o beberéis; ni por vuestro cuerpo, cómo os vestiréis. ¿No tiene la vida más valor que la comida, y el cuerpo más que la ropa?";Esp
162;"Fijaos en las aves del cielo: no siembran ni cosechan ni almacenan en graneros; sin embargo, el Padre celestial las alimenta. ¿No valéis vosotros mucho más que ellas?";Esp
163;¿Quién de vosotros, por mucho que se preocupe, puede añadir una sola hora al curso de su vida?;Esp
164;"»¿Y por qué os preocupáis por el vestido? Observad cómo crecen los lirios del campo. No trabajan ni hilan;";Esp
165;sin embargo, os digo que ni siquiera Salomón, con todo su esplendor, se vestía como uno de ellos.;Esp
166;Si así viste Dios a la hierba que hoy está en el campo y mañana es arrojada al horno, ¿no hará mucho más por vosotros, gente de poca fe?;Esp
167;Así que no os preocupéis diciendo: “¿Qué comeremos?” o “¿Qué beberemos?” o “¿Con qué nos vestiremos?”;Esp
168;Los paganos andan tras todas estas cosas, pero el Padre celestial sabe que necesitáis de todo esto.;Esp
169;Más bien, buscad primeramente el reino de Dios y su justicia, y todas estas cosas os serán añadidas.;Esp
170;Por lo tanto, no os angustiéis por el mañana, el cual tendrá sus propios afanes. Cada día tiene ya sus problemas.;Esp
171;»No juzgéis a nadie, para que nadie os juzgue a vosotros.;Esp
172;Porque así como juzguéis se os juzgará, y con la medida que midáis a otros se os medirá.;Esp
173;»¿Por qué te fijas en la astilla que tiene tu hermano en el ojo, y no le das importancia a la viga que está en el tuyo?;Esp
174;¿Cómo puedes decirle a tu hermano: “Déjame sacarte la astilla del ojo”, cuando tienes una viga en el tuyo?;Esp
175;¡ Hipócrita !, saca primero la viga de tu propio ojo, y entonces verás con claridad para sacar la astilla del ojo de tu hermano.;Esp
176;"»No deis lo sagrado a los perros , no sea que se vuelvan contra vosotros y os despedacen; ni echéis vuestras perlas a los cerdos, no sea que las pisoteen.";Esp
177;"»Pedid, y se os dará; buscad, y encontraréis; llamad, y se os abrirá.";Esp
178;"Porque todo el que pide, recibe; el que busca, encuentra; y al que llama, se le abre.";Esp
179;»¿Quién de vosotros, si su hijo le pide pan, le da una piedra?;Esp
180;¿O si le pide un pescado, le da una serpiente?;Esp
181;Pues si vosotros, aun siendo malos, sabéis dar cosas buenas a vuestros hijos, ¡cuánto más vuestro Padre que está en el cielo dará cosas buenas a los que le pidan!;Esp
182;Así que en todo tratad a los demás tal y como queréis que ellos os traten a vosotros. De hecho, esto es la ley y los profetas.;Esp
183;»Entrad por la puerta estrecha. Porque es ancha la puerta y espacioso el camino que conduce a la destrucción, y muchos entran por ella. Pero estrecha es la puerta y angosto el camino que conduce a la vida, y son pocos los que la encuentran.;Esp
184;»Cuidaos de los falsos profetas. Vienen a vosotros disfrazados de ovejas, pero por dentro son lobos feroces.;Esp
185;Por sus frutos los conoceréis. ¿Acaso se recogen uvas de los espinos o higos de los cardos?;Esp
186;Del mismo modo, todo árbol bueno da fruto bueno, pero el árbol malo da fruto malo.;Esp
187;Un árbol bueno no puede dar fruto malo, y un árbol malo no puede dar fruto bueno.;Esp
188;Todo árbol que no da buen fruto se corta y se arroja al fuego.;Esp
189;Así que por sus frutos los conoceréis.;Esp
190;»No todo el que me dice: “Señor, Señor”, entrará en el reino de los cielos, sino solo el que hace la voluntad de mi Padre que está en el cielo.;Esp
191;Muchos me dirán en aquel día: “Señor, Señor, ¿no profetizamos en tu nombre, y en tu nombre expulsamos demonios e hicimos muchos milagros?”;Esp
192;Entonces les diré claramente: “Jamás os conocí. ¡Alejaos de mí, hacedores de maldad!”;Esp
193;»Por tanto, todo el que me oye estas palabras y las pone en práctica es como un hombre prudente que construyó su casa sobre la roca.;Esp
194;"Vinieron las lluvias, crecieron los ríos, y soplaron los vientos y azotaron aquella casa; con todo, la casa no se derrumbó porque estaba cimentada sobre la roca.";Esp
195;Pero todo el que me oye estas palabras y no las pone en práctica es como un hombre insensato que construyó su casa sobre la arena.;Esp
196;Cuando Jesús bajó de la montaña, lo siguieron grandes multitudes.;Esp
197;Un hombre que tenía lepra se le acercó y se arrodilló delante de él. ?Señor, si quieres, puedes limpiarme —le dijo.;Esp
198;Jesús extendió la mano y tocó al hombre. ?Sí quiero —le dijo—. ¡Queda limpio! Y al instante quedó sano de la lepra.;Esp
199;"?Mira, no se lo digas a nadie —le dijo Jesús—; solo ve, preséntate al sacerdote y lleva la ofrenda que ordenó Moisés, para que les sirva de testimonio.";Esp
200;Al entrar Jesús en Capernaún, se le acercó un centurión pidiendo ayuda.;Esp
201;?Señor, mi siervo está postrado en casa con parálisis y sufre terriblemente.;Esp
202;?Iré a sanarlo —respondió Jesús.;Esp
203;?Señor, no merezco que entres bajo mi techo. Pero basta con que digas una sola palabra, y mi siervo quedará sano.;Esp
204;Porque yo mismo soy un hombre sujeto a órdenes superiores, y además tengo soldados bajo mi autoridad. Le digo a uno: “Ve”, y va, y al otro: “Ven”, y viene. Le digo a mi siervo: “Haz esto”, y lo hace.;Esp
205;Al oír esto, Jesús se asombró y dijo a quienes lo seguían: ?Os aseguro que no he encontrado en Israel a nadie que tenga tanta fe.;Esp
206;Os digo que muchos vendrán del oriente y del occidente, y participarán en el banquete con Abraham, Isaac y Jacob en el reino de los cielos.;Esp
207;Pero a los súbditos del reino se les echará afuera, a la oscuridad, donde habrá llanto y rechinar de dientes.;Esp
208;Luego Jesús le dijo al centurión: ?¡Ve! Todo se hará tal como creíste. Y en esa misma hora aquel siervo quedó sano.;Esp
209;Cuando Jesús entró en casa de Pedro, vio a la suegra de este en cama, con fiebre.;Esp
210;"Le tocó la mano y la fiebre se le fue; y ella se levantó y comenzó a servirle.";Esp
211;Al atardecer, le llevaron muchos endemoniados, y con una sola palabra expulsó a los espíritus, y sanó a todos los enfermos.;Esp
212;Esto sucedió para que se cumpliera lo dicho por el profeta Isaías: «Él cargó con nuestras enfermedades y soportó nuestros dolores».;Esp
213;Cuando Jesús vio a la multitud que lo rodeaba, dio orden de pasar al otro lado del lago.;Esp
214;Se le acercó un maestro de la ley y le dijo: ?Maestro, te seguiré a dondequiera que vayas.;Esp
215;?Las zorras tienen madrigueras y las aves tienen nidos —le respondió Jesús—, pero el Hijo del hombre no tiene dónde recostar la cabeza.;Esp
216;Otro discípulo le pidió: ?Señor, primero déjame ir a enterrar a mi padre.;Esp
217;?Sígueme —le replicó Jesús—, y deja que los muertos entierren a sus muertos.;Esp
218;Luego subió a la barca y sus discípulos lo siguieron.;Esp
219;De repente, se levantó en el lago una tormenta tan fuerte que las olas inundaban la barca. Pero Jesús estaba dormido.;Esp
220;Los discípulos fueron a despertarlo. ?¡Señor —dijeron—, sálvanos, que nos vamos a ahogar!;Esp
221;?Hombres de poca fe —les contestó—, ¿por qué tenéis tanto miedo? Entonces se levantó y reprendió a los vientos y a las olas, y todo quedó completamente tranquilo.;Esp
222;Los discípulos no salían de su asombro, y decían: «¿Qué clase de hombre es este, que hasta los vientos y las olas le obedecen?»;Esp
223;Cuando Jesús llegó al otro lado, a la región de los gadarenos, dos endemoniados le salieron al encuentro de entre los sepulcros. Eran tan violentos que nadie se atrevía a pasar por aquel camino.;Esp
224;De pronto le gritaron: ?¿Por qué te entrometes, Hijo de Dios? ¿Has venido aquí a atormentarnos antes del tiempo señalado?;Esp
225;A cierta distancia de ellos estaba paciendo una gran piara de cerdos.;Esp
226;Los demonios le rogaron a Jesús: ?Si nos expulsas, mándanos a la piara de cerdos.;Esp
227;?Id —les dijo. Así que salieron de los hombres y entraron en los cerdos, y toda la piara se precipitó al lago por el despeñadero y murió en el agua.;Esp
228;Los que cuidaban los cerdos salieron corriendo al pueblo y dieron aviso de todo, incluso de lo que les había sucedido a los endemoniados.;Esp
229;Entonces todos los del pueblo fueron al encuentro de Jesús. Y, cuando lo vieron, le suplicaron que se alejara de esa región.;Esp
230;Subió Jesús a una barca, cruzó al otro lado y llegó a su propio pueblo.;Esp
231;"Unos hombres le llevaron un paralítico, acostado en una camilla. Al ver Jesús la fe de ellos, le dijo al paralítico: ?¡Ánimo, hijo; tus pecados quedan perdonados!";Esp
232;Algunos de los maestros de la ley murmuraron entre ellos: «¡Este hombre blasfema !»;Esp
233;Como Jesús conocía sus pensamientos, les dijo: ?¿Por qué dais lugar a tan malos pensamientos?;Esp
234;¿Qué es más fácil, decir: “Tus pecados quedan perdonados”, o decir: “Levántate y anda”?;Esp
235;Pues para que sepáis que el Hijo del hombre tiene autoridad en la tierra para perdonar pecados —se dirigió entonces al paralítico—: Levántate, toma tu camilla y vete a tu casa.;Esp
236;Y el hombre se levantó y se fue a su casa.;Esp
237;Al ver esto, la multitud se llenó de temor y glorificó a Dios por haber dado tal autoridad a los mortales .;Esp
238;Al irse de allí, Jesús vio a un hombre llamado Mateo, sentado a la mesa de recaudación de impuestos. «Sígueme», le dijo. Mateo se levantó y lo siguió.;Esp
239;Mientras Jesús estaba comiendo en casa de Mateo, muchos recaudadores de impuestos y pecadores llegaron y comieron con él y sus discípulos.;Esp
240;Cuando los fariseos vieron esto, preguntaron a sus discípulos: ?¿Por qué come vuestro maestro con recaudadores de impuestos y con pecadores?;Esp
241;Al oír esto, Jesús les contestó: ?No son los sanos los que necesitan médico, sino los enfermos.;Esp
242;Pero id y aprended qué significa esto: “Lo que quiero es misericordia y no sacrificios”. Porque no he venido a llamar a justos, sino a pecadores.;Esp
243;Un día se le acercaron los discípulos de Juan y le preguntaron: ?¿Cómo es que nosotros y los fariseos ayunamos, pero no así tus discípulos? Jesús les contestó:;Esp
244;"?¿Acaso pueden estar de luto los invitados del novio mientras él está con ellos? Llegará el día en que se les quitará el novio; entonces sí ayunarán.";Esp
