Item;Oracion;Lenguaje
49;Je soꞌu kaꞌikalüirua tia, eweetüshi Juan chi owoutisaajüikai sünain aküjaa nüchiki Maleiwa sümüin wayuu chaꞌaya isashiipaꞌa suluꞌu tü mmakat Judea.;guc
50;Mapüꞌüshi nia: “Jiyaawajaa jumaala suulia jaainjala süka sülüꞌülüin nükalia chi Maleiwakai süpüla aluwatawaa jaaꞌu”.;guc
51;Otta Juan, aküjüna achikichi nia paala sümaiwa nütüma Isaías chi nünüikimaajachikai Maleiwa sünain maa: “Owoottaweechi wane wayuu chaꞌaya isashiipaꞌa sünain maa: ‘Yapa jütüma nüpüna chi Senyotkai. Juuꞌulaa suulia jaainjala süpülapünaa nüntajachin jaꞌakamüin’ ”.;guc
52;Otta Juan, kasheꞌinshi nia wane süta mürüt kanüliasü “camello”, ooꞌulaka nüsiꞌirain, paaꞌata. Eküi kaashapü ooꞌulaka mapa.;guc
53;Oꞌunüsü wayuu watta saalin nünainmüin suluꞌujee Jerusalén, suluꞌujee Judea, je suluꞌujee tü mma sotpünaakat tü süchikat Jordán.;guc
54;Aküjashii naya süchiki naainjala nümüin Maleiwa, je owoutisaajünüshii nütüma Juan chaꞌaya shiroku tü süchikat Jordán.;guc
55;Otta süntapa wainma wayuu fariseo ooꞌulaka wayuu saduceo nünainmüin Juan shiiꞌiree nuwoutisaajaa, nümakalaka namüin: “Jiakana wüi ouktasiroꞌut, eꞌrülii wayumüin jia. Nnojoleerü kasalajanain jaainjala jümüin jaajüin sükajee neꞌe juwoutisaajünüin, nnojoleena jia eꞌrüin müliaa jaajüin süsala.;guc
56;Müleka shiimüinreje sünain jükatalaain suulia jaainjala, atüjaaneerü aaꞌu tia sünainjee tü kasa anasü jaaꞌinrakat.;guc
57;Je nnojotsü cheꞌojaain juꞌwaataain suluꞌu nuuꞌuliwoꞌuin jia Abraham. Müleka nnojoliire jaaꞌinrüin tü nuluwataakat anain jia Maleiwa, süsaleena jia nütüma. Müleka nücheküle Maleiwa, eesü süpüla jaaꞌa sümeerüin tü ipakalüirua nütüma süpüla shiainjatüin nuuꞌuliwoꞌuin Abraham.;guc
58;Müleka nnojorule jaaꞌinrüin tü anasükat nuꞌupala Maleiwa, aleejüneena jia nütüma, maa aka süshottünüin sümaa sujutünüin soꞌu siki wane wunuꞌu eekai nnojolüin anain süchon.;guc
59;“Tayakai, wayuu neꞌe. Nnojoishi wanaapünaain nümaa Cristo, süka pülashin maꞌi nia toulia. Na eekai nayaawajaain suulia naainjala, tawoutisaajüin neꞌe naya süka wüin. Otta müshia Cristo, anteechi jünainmüin süpüla naapüinjachin jümüin chi Naaꞌinkai Maleiwa süpüla eeinjachin nia waneepia jümaa. Akaajasa chi eekai ayatüin sünain naainjala, süsaleechi nia nütüma.;guc
60;Oꞌtteꞌenneechi chi eekai nünoujain nünain Cristo, maa aka sükatannüin süchon wane aꞌttiee suulia tü suwasalakat süpüla sünaajaanüin. Otta chi eekai niyouktüin Cristo, amülouleechi waneepia, maa aka tü suwasalakat sünain saꞌajünüin”, nümakalaka Juan namüin.;guc
61;Nüntakalaka Jesús chajee Galileajee eemüin tü süchikat Jordán süpüla nuwoutisaajünüin nütüma Juan.;guc
62;Otta müshia Juan, ayouktajüshi nümüin sünain maa nümüin: —Taya tayakai cheꞌojaaka amüin owoutisaajünaa pütüma, piakalaka neꞌe antüin tanainmüin süpüla tawoutisaajaa —nümakalaka nümüin Jesús.;guc
63;Nüsouktakalaka Jesús nümüin: —Anasü müleka paaꞌinrüle joo tü tachuntakat pümüin, süka keeꞌireein taaꞌin tekeraajüin süpüshua tü nüchekakat chi Maleiwakai tapüleerua —nümakalaka Jesús. Je süka tü nümakat Jesús, naaꞌinrüin Juan tü nüchuntakat nümüin.;guc
64;Kettaapa nuwoutisaajünüin Jesús, ashaꞌwalaa müshia nia shirokujee tü wüinkat. Je wanaa maꞌi sümaa tia, eerulaasü tü sirumakat chaa iipünaa. Niꞌrakalaka Jesús chi Naaꞌinkai Maleiwa sünain ashakataa nünainmüin sünain müin aka saaꞌin wane moꞌuwa.;guc
65;Saapünakalaka joo wane pütchi chaa iipünaajee sünain maa: “Anii chi Tachonkai aishikai tapüla. Talatüshi maꞌi taya nümaa”.;guc
66;Oꞌuninnüshi Jesús nütüma chi Naaꞌinkai Maleiwa isashiipaꞌamüin süpüla nuuꞌulakünüin aaꞌin nütüma Satanás chi sülaülakai yolujaa.;guc
67;Otta Jesús, süchikijee maa aka pienchi shikii kaꞌi sünain aamüjaa, ouktüshi nia jamü.;guc
68;Nüntakalaka joo chi Yolujaakai nünainmüin sünain nümüin nümüin: —Müleka Nüchonle pia Maleiwa, puluwataa türa ipakat shiiꞌiranajaaiwa pan —nümakalaka nümüin Jesús.;guc
69;Asouktüshi Jesús niꞌipajee: —Nnojo. Ashajünüsü paala wane pütchi suluꞌu tü karaloukta nüchikimaajatkat Maleiwa, müsü yaa: “Nnojotsü shiain sümüiwa tü pankat katüin atüma soꞌu wayuu, kateerü oꞌu shiaya sütüma süpüshua tü nünüikikat chi Maleiwakai” —nümakalaka Jesús nümüin.;guc
70;Nuꞌuninnakalaka joo Jesús nütüma chi Yolujaakai chamüin Jerusalénmüin eemüin tü aꞌwaajüleekat Maleiwa, sünain nüshaꞌwaleꞌerüin nia iipünaa süraloꞌu tü miichikat,;guc
71;sünain nümüin nümüin: —Müleka Nüchonle pia Maleiwa, pumutta pümata yaajee mmoluꞌumüin. Aneechi pia saashin tü ashajuushikat makat mayaa: “Nuluwataajeena Maleiwa na aapieekana süpüla naaꞌinmajüin pia. Najapuluꞌuinjachi pia suulia sheewaꞌalaain puuꞌui sütüma ipa”, mataa sümakai tü ashajuushikat —nümakalaka chi Yolujaakai nümüin Jesús.;guc
72;Asouktüshi Jesús: —Nnojo. Müsü tü ashajuushikat: “Nnojo juuꞌulaküin naaꞌin chi Jümaleiwasekai” —nümakalaka Jesús nümüin.;guc
73;Nuꞌuninnakalaka joo Jesús nütüma chi Yolujaakai chamüin iipünaamüin saaꞌupünaa wane uuchi, sünain niiꞌiyatüin nümüin tü suumainkalüirua wayuu süpüshuaꞌale sünain anashaatain maꞌi shia.;guc
74;Nümakalaka nümüin Jesús: —Müleka püsapainyoꞌukale pia yaa tamülatuꞌu sünain puꞌwaajüin taya, taapeerü pümüin tü suumainkalüirua süpüshuaꞌale —nümakalaka chi Yolujaakai nümüin Jesús.;guc
75;Asouktüshi Jesús niꞌipajee: —Puꞌuna pümata toulia Satanás süka ashajuushin paala: “Nia juꞌwaajüinjachika, chi Jümaleiwasekai nümüiwa, nia jiꞌyataainjachika amüin nümüiwa” —nümakalaka Jesús nümüin.;guc
76;Oꞌunamaatüshi chi Yolujaakai nuulia Jesús. Anta müsia wane aapieeirua nümaꞌanajeejatü Maleiwa nünainmüin Jesús süpüla saaꞌinmajüinjachin nia.;guc
77;Naapapa Jesús nüchiki Juan sünain püreesain nütüma Herodes, aleꞌejüshi Galileamüin suluꞌumüin tü pueulokat Nazaret.;guc
78;Oꞌuna müshia nia yalajee suluꞌumüin tü pueulo kanüliakat Capernaum süpüla kepiainjachin nia chaꞌaya. Je Capernaum, sotpaꞌasü tü palaa kanüliakat Galilea. Shia tü mma kepiapüꞌükat aluꞌu sümaiwa paala na wayuu judío nuuꞌuliwoꞌukana Zabulón ooꞌulaka Neftalí.;guc
79;Antüshi Jesús chamüin Capernaum süpüla keraainjatüin tü nünüikikat chi Maleiwakai aküjünakat paala nütüma Isaías chi nünüikimaajachikai, tü makat:;guc
80;“Na wayuu kepiakana suluꞌu tü mmakat Zabulón ooꞌulaka tü mmakat Neftalí, na kepiakana yaa suluꞌu tü mmakat Galilea pejekat sünain tü palaakat, pejekat sünain tü süchikat Jordán, na wayuu judíokana ooꞌulaka na eekana nnojolüin judíoin,;guc
81;na eepüꞌükana sümaa piyuushi sünain kaainjalain, naapeerü mapeena nüchiki chi Maleiwakai süpüla nuꞌtteꞌerüin naya”.;guc
82;Shiasa süchikijee soꞌu kaꞌikat tia, oꞌttüshi Jesús sünain aküjaa sümüin wayuu sainküin mma sünain maa sümüin: “Jiyaawajaa jumaala suulia jaainjala süka sülüꞌülüin nükalia chi Maleiwakai süpüla aluwatawaa jaaꞌu”.;guc
83;Je wanaa sümaa waraittüin Jesús sotpaꞌapünaa tü palaa kanüliakat Galilea, niꞌrakalaka piamashii wayuu, wane Simón chi kanüliakai Pedro, ooꞌulaka Andrés chi nuwalakai. Ajunaꞌatshii tü nakusüinkat shiroku tü palaakat süka olojüliin naya jime.;guc
84;—Anashii tamaatalai jia. Maa aka olojüliin jia jime, okotchajüinjana jia wayuu tamüin süpüla saapüinjatüin tanüiki —nümakalaka Jesús namüin.;guc
85;Napüta namüsüja tü nakusüinkat süpüla oꞌunaa nümaa.;guc
86;Nuꞌunaiwaꞌaya neꞌe Jesús mamüin aka türa, niꞌrüin joo piamashii wayuu pawalaawashii, na nüchooinkana Zebedeo. Jacobo nünülia wane, otta Juan chi nuwalakai. Areweentajaꞌatshii naya tü nakusüinkat yaa suluꞌu tü anuakat nümaa chi nashikai. Je neenakünapa nütüma Jesús,;guc
87;napüta namüsüja tü naꞌanuainkat ooꞌulaka chi nashikai süpüla oꞌunaa nümaa Jesús.;guc
88;Nuꞌunakalaka Jesús sainküinpünaa tü mmakat Galilea sünain nikirajüin wayuu suluꞌupünaa tü ekirajüleekalüirua wayuu judío chaꞌaya Galilea. Aküjüshi nia tü pütchi anasükat sümüin wayuu süchiki nukuaippa Maleiwa sünain aluwatawaa, je anasü nütüma wainma wayuu eekai ayuulin sütüma ayuulii eekai eein neꞌe.;guc
89;Suꞌwalakajaakalaka nüchiki Jesús sainküinpünaa Galilea je sainküinpünaa tü mmakat Siria. Je sükajee tia, antinnüsü nünainmüin wainma wayuu eekai ayuulin sütüma ayuulii eekai eein. Antinnüshii na eekai müliain sütüma alin neꞌiruku, na eekai kaleꞌeruꞌuin yolujaa, na eekai koꞌkchichijaaraliin, je na eekai ouktüin asaꞌa. Eiyajünüshii napüshua nütüma.;guc
90;Oushikajaasü wayuu watta saalin nüchiirua Jesús. Eejatü wayuu suluꞌujee Galilea, suluꞌujee tü poloosükot pueuloirua kanüliasü Decápolis, suluꞌujee Jerusalén ooꞌulaka Judea, je suluꞌujee tü mma waneekat saꞌata tü süchikat Jordán.;guc
91;Niꞌrapa Jesús tü wattakat saalin wayuu antakat nünainmüin, oꞌunüshi nia saaꞌumüin wane namüna süpüla ekirajaa naya. Je nüikkalaapa, arütkaashii na nikirajüinkana nünainmüin.;guc
92;Nuꞌttakalaka sünain ekirajaa tü wattakat saalin wayuu sünain maa namüin:;guc
93;“Anataꞌaleeshiijaꞌa maꞌi jia eꞌrakana sünain cheꞌojaain chi Maleiwakai jümüin, süka jikeroteenain chamüin eere nuluwataain.;guc
94;Anataꞌaleeshiijaꞌa maꞌi jia aꞌyalajakana nümüin Maleiwa saaꞌu jaainjala, süka jümülianneenain nütüma.;guc
95;Anataꞌaleeshiijaꞌa maꞌi jia nnojoliikana pülain aaꞌin nuulia Maleiwa, süka saapüneerüin jümüin tü kasa anasü nüsülajeekat.;guc
96;Anataꞌaleeshiijaꞌa maꞌi jia kachiiruakana aaꞌin aaꞌinraa tü anasükat, süka nükaaliijain jia Maleiwa süpüla juuntüin jaaꞌinrüin.;guc
97;Anataꞌaleeshiijaꞌa maꞌi jia amüliajüliikana wayuu, süka jümüliajüneenain.;guc
98;Anataꞌaleeshiijaꞌa maꞌi jia ulekana aaꞌin, süka jiꞌreechin Maleiwa.;guc
99;Anataꞌaleeshiijaꞌa maꞌi jia akaaliijakana na juwalayuukana süpüla anajiraainjanain naya, süka jiꞌnnaajüneenain sünain nüchooin jia Maleiwa.;guc
100;Anataꞌaleeshiijaꞌa maꞌi jia müliakana aaꞌin sütüma wayuu saaliijee jaaꞌinrüin tü nüchekakat Maleiwa jüpüleerua, süka jikeroteenain chamüin eere nuluwataain.;guc
101;“Anataꞌaleeshiijaꞌa maꞌi jia müleka shiꞌrüle wayumüin wayuu jümüin saaliijee jünoujain tanain, müleka shimeꞌerainparale jia je müleka jaashajaanüle sünain mojuin pütchi jüchiki.;guc
102;Meerü jukuaippa aka nakuaippa na nünüikimaajanakana Maleiwa paala sümaiwa sünain neꞌnnüin amüin natüma na jutuushikanairua. Otta jiakana soꞌu tü kaꞌi mülieenakat oꞌu jia sütüma wayuu, talata jia süka süpüshua jaaꞌin, süka jütüjaain naaꞌu chi Maleiwakai sünain nüsülajüinjatüin kasa anashaatakat jümüin chaa iipünaa eere nia”, nümakalaka Jesús namüin.;guc
103;“Jiakana, müshii aka jia saaꞌin ichii jalouikat sümüin wayuu süpüshua. Maa aka nnojolüin sümojujaain asalaa sütüma ichii, akaainjana jia sümüin tü wayuukolüirua süpüla nnojolüinjatüin kooꞌomüin maꞌi saainjala. Otta müleka meꞌejüle tü ichiikat, nnojoleerü kasain saamüin sümüin wayuu. Ojotünüsü neꞌe anouipaꞌa süka nnojolüin anain süpüla ekünaa je süpüla shiküin mürüt. Akaajaa chi wayuu eekai nnojolüin noonooin sümaa tanüiki, nnojoleerü kasain naamüin tamüin.;guc
104;“Müshii aka jia saaꞌin wane anakia, süka shiyaawatüinjatüin saaꞌu tü shiimüinkat wayuu jütüma. Maa aka jaꞌyain wane pueulo iipünaa saaꞌu namüna, akaajaa jiakana sünain jiiꞌiyatüin tü shiimüinkat waneepia sümüin wayuu.;guc
105;¿Jalasü eꞌitaanüin wane luusa shipejaanüle? ¿Eꞌitaanüsü cheje suupünaa wushu? Nnojo. Eꞌitaanüsü eere süpülee luusa süpüla sünaküinjatüin kasa süpüshua.;guc
106;Akaajaa jiakana, müleka jaaꞌinrüin waneepia tü anasükat suꞌupala wayuu. Je sükajee neꞌrüin tü kasa anasü jaaꞌinrakat, nayaawateerü aaꞌu nukuaippa Maleiwa je naꞌwaajeechin nia.;guc
107;“¿Antüshi taya jaajüin süpüla sümalajaainjatüin tatüma tü nuluwataakat anain Moisés ooꞌulaka tü nashajakat na nünüikimaajanakana Maleiwa? Nnojo. Shia tantaka apüla takaaliijain jia süpüla joonooinjanain sümaa tü nümakat Maleiwa.;guc
108;Shiimüin tü tamakat jümüin: Tü mmakat je tü kasa chakat iipünaa, ajaꞌlajaweerü soꞌuweena wane kaꞌi. Otta tü nünüikikat chi Maleiwakai ashajünakat paala nütüma Moisés, nnojoleerü ajaꞌttüin waneeshikaiyaaje noꞌu pütchi sünainjee waneꞌereꞌeya shikeraajapa süpüshua tü süküjakat achiki.;guc
109;Chi wayuu eekai moonooin sümaa tü pütchi aluwataanakat anain nütüma Moisés, jaꞌitairü waneeshikaije neꞌe pütchi shiyouktünüle nütüma, otta nikirajüle wayuu sünain moonooloinjanain naya sümaa, mojuteechi nia chaꞌaya eere nuluwataain Maleiwa. Akaajaa chi oonookai sümaa tü nuluwataakat anain, sümaa nikirajüin sünain, kojuteechi nia chaꞌaya.;guc
110;Tamüshii paala jia: Müleka nnojorule jülatüin sünain anain jia noulia na fariseokana ooꞌulaka na karalouktamaajanakana sünain jikeraajüin tü nüchekalakat chi Maleiwakai jüpüleerua, shiimüin sünain nnojoleenain ekerolüin jia chaꞌaya eere nuluwataain Maleiwa.;guc
111;“Jiꞌraajüin tü nümapüꞌükat Moisés namüin na jutuushinuukana sümaiwa paala, tü makat mayaa: ‘Nnojo puꞌutüin saaꞌin wayuu. Je chi oꞌutakai saaꞌin wayuu, shiimüin sünain kasalajaneerüin nümüin tü naaꞌinrakat’.;guc
112;Otta tanüiki tayakai jooluꞌu jümüin, müsü mayaa: Chi eekai naashichijaain nümüin wane nuwala, shiimüin sünain kasalajaneerüin nümüin tia nütüma Maleiwa. Otta müshia chi eekai niꞌrüin wayumüin süka nünüiki nümüin wane nuwala, shiimüin sünain kasalajaneerüin nümüin tia natüma na laülaayuukana. Otta müshia chi eekai mojuin nünüiki nümüin wane nuwala sünain ‘maaꞌin aaꞌinchi pia’ sünain nümüin nümüin, eesü süpüla nujutüneechin soꞌumüin tü sikikat eere süpülee tü ouktüsükalüirua.;guc
113;“Sükajee tüü, wanaa sümaa püsülajüin kasa nümüin Maleiwa eere süpülee asülajaa, müleka sotüle paaꞌin sünain mojuin nünüiki pümüin wane puwala,;guc
114;anakaja müleka püpütüle tü püsülajüinjatkat yaala süꞌütpaꞌa tü süpüleekat asülajaa süpüla puꞌunüinjachin nünainmüin chi puwalakai süpüla pukumajiraain sukuaippa nümaa. Je süchikijee, aleꞌeja meechia pia süpüla asülajaa nümüin Maleiwa.;guc
115;“Müleka kaainjarale pia nuulia wane puwala, acheküshi pütüjamaatüin pünüiki nümüin süpülapünaa nuluwataain wane pütchipüꞌü pünainmüin suulia kojutajüin püpüleerua.;guc
